claim_id,case_id,method,source_field,claim_type_cn,claim_text,prefilter_status,candidate_rank,evidence_ref,evidence_type,evidence_text,source_names,retrieval_score,prefilter_score,prefilter_quality,token_recall,token_jaccard,character_bigram_recall,reference_match,source_match,entity_match,disease_match,relation_match
CASE_BCC_001__rag__risk_warning__001,CASE_BCC_001,rag,risk_warning,风险医学陈述,根据DOC_0029，基底细胞癌可能出现自发性出血、糜烂或溃疡，需警惕病情进展,candidate_generated,1,DOC_0029,retrieved_text_document,基底细胞癌可出现自发性出血、糜烂或溃疡。,DermNet - Basal Cell Carcinoma Dermoscopy,26.497186,0.811026,strong,0.615385,0.603774,0.470588,True,False,False,True,False
CASE_BCC_001__rag__risk_warning__001,CASE_BCC_001,rag,risk_warning,风险医学陈述,根据DOC_0029，基底细胞癌可能出现自发性出血、糜烂或溃疡，需警惕病情进展,candidate_generated,2,DOC_0023,retrieved_text_document,结节型基底细胞癌可表现为光亮或珍珠样结节。,DermNet - Basal Cell Carcinoma,63.671704,0.264078,weak,0.25,0.173333,0.147059,False,False,False,True,False
CASE_BCC_001__rag__risk_warning__001,CASE_BCC_001,rag,risk_warning,风险医学陈述,根据DOC_0029，基底细胞癌可能出现自发性出血、糜烂或溃疡，需警惕病情进展,candidate_generated,3,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.261912,weak,0.25,0.1625,0.147059,False,False,False,True,False
CASE_BCC_001__rag__medical_advice__001,CASE_BCC_001,rag,medical_advice,医疗建议,建议前往皮肤科进行专业面诊以明确诊断,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__medical_advice__002,CASE_BCC_001,rag,medical_advice,医疗建议,建议进行皮肤镜检查或组织病理学检查以确诊,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__medical_advice__003,CASE_BCC_001,rag,medical_advice,医疗建议,注意观察皮损是否有出血、糜烂或快速增大等变化并记录,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__evidence_gap__001,CASE_BCC_001,rag,evidence_gap,证据缺口说明,缺乏患者年龄、性别及长期日晒史等风险因素信息,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__evidence_gap__002,CASE_BCC_001,rag,evidence_gap,证据缺口说明,缺乏皮损持续时间、生长速度及是否有疼痛或瘙痒等症状描述,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__evidence_gap__003,CASE_BCC_001,rag,evidence_gap,证据缺口说明,缺乏皮肤镜具体特征（如蓝灰色卵圆形巢、叶状结构等）的专业检查结果,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__evidence_gap__004,CASE_BCC_001,rag,evidence_gap,证据缺口说明,缺乏组织病理学活检结果这一确诊金标准,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__kg_rag__observation_match__001,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,用户观察到的'珍珠样结节'与基底细胞癌的典型临床表现'珍珠样结节'直接匹配。,candidate_generated,1,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.604527,strong,0.431373,0.338462,0.321429,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__001,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,用户观察到的'珍珠样结节'与基底细胞癌的典型临床表现'珍珠样结节'直接匹配。,candidate_generated,2,PATH_TRI_030,ranked_kg_evidence_path,"基底细胞癌 → 常见于 → 面部
结节型基底细胞癌是面部常见的 BCC 类型。",DermNet - Basal Cell Carcinoma,3.92,0.486098,moderate,0.27451,0.202899,0.178571,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__001,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,用户观察到的'珍珠样结节'与基底细胞癌的典型临床表现'珍珠样结节'直接匹配。,candidate_generated,3,PATH_TRI_027,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 边缘隆起或卷曲
基底细胞癌可出现中央凹陷或溃疡，使边缘呈卷曲样。",DermNet - Basal Cell Carcinoma,2.5,0.466564,moderate,0.254902,0.144444,0.178571,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__002,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,用户观察到的'表面可见细小血管'与基底细胞癌的常见体征'表面毛细血管扩张'相匹配。,candidate_generated,1,PATH_TRI_026,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 表面毛细血管扩张
基底细胞癌表面可见血管穿过。",DermNet - Basal Cell Carcinoma,4.34,0.648859,strong,0.473684,0.402985,0.393939,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__002,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,用户观察到的'表面可见细小血管'与基底细胞癌的常见体征'表面毛细血管扩张'相匹配。,candidate_generated,2,PATH_TRI_030,ranked_kg_evidence_path,"基底细胞癌 → 常见于 → 面部
结节型基底细胞癌是面部常见的 BCC 类型。",DermNet - Basal Cell Carcinoma,3.92,0.465882,moderate,0.245614,0.186667,0.151515,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__002,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,用户观察到的'表面可见细小血管'与基底细胞癌的常见体征'表面毛细血管扩张'相匹配。,candidate_generated,3,PATH_TRI_028,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 中央凹陷或溃疡
基底细胞癌可有中央凹陷或溃疡。",DermNet - Basal Cell Carcinoma,2.5,0.429641,moderate,0.192982,0.141026,0.121212,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__003,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,病变部位'面部'是基底细胞癌（特别是结节型）的好发部位，符合疾病分布特征。,candidate_generated,1,PATH_TRI_030,ranked_kg_evidence_path,"基底细胞癌 → 常见于 → 面部
结节型基底细胞癌是面部常见的 BCC 类型。",DermNet - Basal Cell Carcinoma,3.92,0.564668,strong,0.387755,0.306452,0.241379,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__003,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,病变部位'面部'是基底细胞癌（特别是结节型）的好发部位，符合疾病分布特征。,candidate_generated,2,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.495102,moderate,0.285714,0.197183,0.206897,False,False,True,True,False
CASE_BCC_001__kg_rag__observation_match__003,CASE_BCC_001,kg_rag,observation_match,观察匹配陈述,病变部位'面部'是基底细胞癌（特别是结节型）的好发部位，符合疾病分布特征。,candidate_generated,3,PATH_TRI_026,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 表面毛细血管扩张
基底细胞癌表面可见血管穿过。",DermNet - Basal Cell Carcinoma,4.34,0.435535,moderate,0.204082,0.131579,0.137931,False,False,True,True,False
CASE_BCC_001__kg_rag__supporting_evidence__001,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，结节型基底细胞癌可表现为光亮或珍珠样结节（证据链PATH_TRI_025）。,candidate_generated,1,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,1.0,strong,0.75,0.75,0.428571,True,False,True,True,True
CASE_BCC_001__kg_rag__supporting_evidence__001,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，结节型基底细胞癌可表现为光亮或珍珠样结节（证据链PATH_TRI_025）。,candidate_generated,2,PATH_TRI_028,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 中央凹陷或溃疡
基底细胞癌可有中央凹陷或溃疡。",DermNet - Basal Cell Carcinoma,2.5,0.578968,strong,0.354167,0.269841,0.166667,False,False,True,True,True
CASE_BCC_001__kg_rag__supporting_evidence__001,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，结节型基底细胞癌可表现为光亮或珍珠样结节（证据链PATH_TRI_025）。,candidate_generated,3,PATH_TRI_027,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 边缘隆起或卷曲
基底细胞癌可出现中央凹陷或溃疡，使边缘呈卷曲样。",DermNet - Basal Cell Carcinoma,2.5,0.577236,strong,0.375,0.219512,0.166667,False,False,True,True,True
CASE_BCC_001__kg_rag__supporting_evidence__002,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，基底细胞癌表面可见血管穿过，即表面毛细血管扩张（证据链PATH_TRI_026）。,candidate_generated,1,PATH_TRI_026,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 表面毛细血管扩张
基底细胞癌表面可见血管穿过。",DermNet - Basal Cell Carcinoma,4.34,1.0,strong,0.702128,0.647059,0.395349,True,False,True,True,False
CASE_BCC_001__kg_rag__supporting_evidence__002,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，基底细胞癌表面可见血管穿过，即表面毛细血管扩张（证据链PATH_TRI_026）。,candidate_generated,2,PATH_TRI_028,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 中央凹陷或溃疡
基底细胞癌可有中央凹陷或溃疡。",DermNet - Basal Cell Carcinoma,2.5,0.449226,moderate,0.234043,0.161765,0.116279,False,False,True,True,False
CASE_BCC_001__kg_rag__supporting_evidence__002,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，基底细胞癌表面可见血管穿过，即表面毛细血管扩张（证据链PATH_TRI_026）。,candidate_generated,3,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.447428,moderate,0.234043,0.152778,0.116279,False,False,True,True,False
CASE_BCC_001__kg_rag__supporting_evidence__003,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，结节型基底细胞癌是面部常见的BCC类型（证据链PATH_TRI_030）。,candidate_generated,1,PATH_TRI_030,ranked_kg_evidence_path,"基底细胞癌 → 常见于 → 面部
结节型基底细胞癌是面部常见的 BCC 类型。",DermNet - Basal Cell Carcinoma,3.92,1.0,strong,0.714286,0.681818,0.428571,True,False,True,True,False
CASE_BCC_001__kg_rag__supporting_evidence__003,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，结节型基底细胞癌是面部常见的BCC类型（证据链PATH_TRI_030）。,candidate_generated,2,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.52381,moderate,0.357143,0.238095,0.166667,False,False,True,True,False
CASE_BCC_001__kg_rag__supporting_evidence__003,CASE_BCC_001,kg_rag,supporting_evidence,支持性医学陈述,根据DermNet资料，结节型基底细胞癌是面部常见的BCC类型（证据链PATH_TRI_030）。,candidate_generated,3,PATH_TRI_026,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 表面毛细血管扩张
基底细胞癌表面可见血管穿过。",DermNet - Basal Cell Carcinoma,4.34,0.456162,moderate,0.261905,0.161765,0.095238,False,False,True,True,False
CASE_BCC_001__kg_rag__differential_diagnosis__001,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,皮脂腺增生：常表现为面部黄色或肤色小丘疹，中央可有脐凹，需与早期基底细胞癌鉴别。,candidate_generated,1,PATH_TRI_028,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 中央凹陷或溃疡
基底细胞癌可有中央凹陷或溃疡。",DermNet - Basal Cell Carcinoma,2.5,0.5842,strong,0.328358,0.285714,0.228571,False,False,True,True,True
CASE_BCC_001__kg_rag__differential_diagnosis__001,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,皮脂腺增生：常表现为面部黄色或肤色小丘疹，中央可有脐凹，需与早期基底细胞癌鉴别。,candidate_generated,2,PATH_TRI_027,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 边缘隆起或卷曲
基底细胞癌可出现中央凹陷或溃疡，使边缘呈卷曲样。",DermNet - Basal Cell Carcinoma,2.5,0.549807,moderate,0.298507,0.20202,0.2,False,False,True,True,True
CASE_BCC_001__kg_rag__differential_diagnosis__001,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,皮脂腺增生：常表现为面部黄色或肤色小丘疹，中央可有脐凹，需与早期基底细胞癌鉴别。,candidate_generated,3,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.51659,moderate,0.238806,0.183908,0.171429,False,False,True,True,True
CASE_BCC_001__kg_rag__differential_diagnosis__002,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,纤维性丘疹：良性皮肤肿瘤，通常表现为坚实、肤色的圆顶状丘疹。,candidate_generated,1,PATH_TRI_028,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 中央凹陷或溃疡
基底细胞癌可有中央凹陷或溃疡。",DermNet - Basal Cell Carcinoma,2.5,0.127464,weak,0.116279,0.071429,0.083333,False,False,False,False,True
CASE_BCC_001__kg_rag__differential_diagnosis__002,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,纤维性丘疹：良性皮肤肿瘤，通常表现为坚实、肤色的圆顶状丘疹。,candidate_generated,2,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.126692,weak,0.116279,0.067568,0.083333,False,False,False,False,True
CASE_BCC_001__kg_rag__differential_diagnosis__002,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,纤维性丘疹：良性皮肤肿瘤，通常表现为坚实、肤色的圆顶状丘疹。,candidate_generated,3,PATH_TRI_026,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 表面毛细血管扩张
基底细胞癌表面可见血管穿过。",DermNet - Basal Cell Carcinoma,4.34,0.126512,weak,0.116279,0.066667,0.083333,False,False,False,False,True
CASE_BCC_001__kg_rag__differential_diagnosis__003,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,无色素性黑色素瘤：虽然较少见，但可能表现为粉红色或红色结节，需通过病理检查排除。,candidate_generated,1,PATH_TRI_025,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 珍珠样结节
结节型基底细胞癌可表现为光亮或珍珠样结节。",DermNet - Basal Cell Carcinoma,4.42,0.156744,weak,0.163934,0.114943,0.090909,False,False,False,False,True
CASE_BCC_001__kg_rag__differential_diagnosis__003,CASE_BCC_001,kg_rag,differential_diagnosis,鉴别诊断陈述,无色素性黑色素瘤：虽然较少见，但可能表现为粉红色或红色结节，需通过病理检查排除。,candidate_generated,2,PATH_TRI_026,ranked_kg_evidence_path,"基底细胞癌 → 表现为 → 表面毛细血管扩张
基底细胞癌表面可见血管穿过。",DermNet - Basal Cell Carcinoma,4.34,0.132358,weak,0.131148,0.088889,0.060606,False,False,False,False,True
