case_id,candidate_disease,case_type,method,run_status,expected_concept_count,matched_concept_count,expected_concept_coverage,matched_concepts,missing_concepts,source_traceable,source_count,sources,evidence_path_traceable,evidence_path_count,complete_evidence_path_count,evidence_path_completeness,safety_completeness,generated_claim_count,prompt_tokens,completion_tokens,total_tokens,response_time_ms,wall_time_ms,coverage_per_1000_tokens,model_name,prompt_version
CASE_AKIEC_001,光化性角化病/表皮内癌,typical_positive,rag,success,5,5,1.0,日晒部位；粗糙；红色斑片；鳞屑；角化,,1,2,DermNet - Intraepidermal Squamous Cell Carcinoma；DermNet - Actinic Keratosis,0,0,0,,1.0,17,958,569,1527,11020,11025,0.654879,qwen3.7-plus-2026-05-26,baseline_v1
CASE_AKIEC_001,光化性角化病/表皮内癌,typical_positive,kg_rag,success,5,5,1.0,日晒部位；粗糙；红色斑片；鳞屑；角化,,1,3,DermNet - Actinic Keratosis；DermNet - Intraepidermal Squamous Cell Carcinoma；DermNet - Actinic Keratosis Dermoscopy,1,5,5,1.0,1.0,19,1587,708,2295,13633,13639,0.43573,qwen3.7-plus-2026-05-26,baseline_v1
CASE_BKL_001,良性角化性病变,typical_positive,llm,success,5,5,1.0,边界清楚；棕褐色；隆起性斑块；表面粗糙；贴附样外观,,0,0,,0,0,0,,1.0,22,598,656,1254,14451,14452,0.797448,qwen3.7-plus-2026-05-26,baseline_v1
CASE_BKL_001,良性角化性病变,typical_positive,rag,success,5,2,0.4,边界清楚；贴附样外观,棕褐色；隆起性斑块；表面粗糙,1,5,DermNet - Seborrhoeic Keratosis；DermNet - Benign Melanocytic Lesions；HAM10000 Scientific Data；DermNet - Lichenoid Keratosis；DermNet - Actinic Keratosis Dermoscopy,0,0,0,,1.0,14,956,513,1469,9696,9701,0.272294,qwen3.7-plus-2026-05-26,baseline_v1
CASE_BKL_001,良性角化性病变,typical_positive,kg_rag,success,5,4,0.8,边界清楚；隆起性斑块；表面粗糙；贴附样外观,棕褐色,1,4,DermNet - Seborrhoeic Keratosis；DermNet - Lichenoid Keratosis；DermNet - Solar Lentigo；DermNet - Dermoscopy of Seborrhoeic Keratosis,1,5,5,1.0,1.0,17,1577,634,2211,14959,14960,0.361827,qwen3.7-plus-2026-05-26,baseline_v1
CASE_DF_001,皮肤纤维瘤,typical_positive,llm,success,4,3,0.75,小腿；质地较硬；棕褐色结节,中央凹陷,0,0,,0,0,0,,1.0,21,592,525,1117,12594,12594,0.671441,qwen3.7-plus-2026-05-26,baseline_v1
CASE_DF_001,皮肤纤维瘤,typical_positive,rag,success,4,2,0.5,小腿；中央凹陷,质地较硬；棕褐色结节,1,2,DermNet - Dermatofibroma；DermNet - Basal Cell Carcinoma,0,0,0,,0.75,11,903,314,1217,6971,6975,0.410846,qwen3.7-plus-2026-05-26,baseline_v1
CASE_DF_001,皮肤纤维瘤,typical_positive,kg_rag,success,4,3,0.75,小腿；质地较硬；中央凹陷,棕褐色结节,1,2,DermNet - Dermatofibroma；DermNet - Melanoma,1,5,5,1.0,1.0,18,1502,519,2021,10174,10179,0.371103,qwen3.7-plus-2026-05-26,baseline_v1
CASE_VASC_001,血管性病变,typical_positive,llm,success,5,5,1.0,鲜红色；圆形丘疹；边界清楚；表面光滑；按压褪色,,0,0,,0,0,0,,1.0,20,599,621,1220,13746,13746,0.819672,qwen3.7-plus-2026-05-26,baseline_v1
CASE_VASC_001,血管性病变,typical_positive,rag,success,5,3,0.6,鲜红色；圆形丘疹；边界清楚,表面光滑；按压褪色,1,5,HAM10000 Scientific Data；DermNet - Benign Melanocytic Lesions；DermNet - Cherry Angioma；DermNet - Common Skin Lesions；DermNet - Seborrhoeic Keratosis,0,0,0,,1.0,13,948,455,1403,8919,8924,0.427655,qwen3.7-plus-2026-05-26,baseline_v1
CASE_VASC_001,血管性病变,typical_positive,kg_rag,success,5,3,0.6,鲜红色；圆形丘疹；边界清楚,表面光滑；按压褪色,1,5,DermNet - Common Skin Lesions；DermNet - Cherry Angioma；DermNet - Dermoscopy of Other Non-melanocytic Lesions；HAM10000 Scientific Data；DermNet - Pyogenic Granuloma,1,5,5,1.0,1.0,17,1555,574,2129,11041,11043,0.281822,qwen3.7-plus-2026-05-26,baseline_v1
