claim_id,case_id,method,global_claim_index,source_field,field_claim_index,claim_type,claim_type_cn,claim_scope,evidence_required,included_in_core_consistency,claim_text,is_duplicate,duplicate_of_claim_id,allowed_evidence_type,allowed_evidence_count,allowed_evidence_refs,allowed_source_names,output_sources
CASE_BCC_001__llm__medical_advice__003,CASE_BCC_001,llm,13,medical_advice,3,medical_advice,医疗建议,auxiliary_safety,False,False,在确诊前，注意防晒，避免搔抓或刺激病变部位，并记录病变大小和形态的变化,False,,none,0,,,
CASE_BCC_001__llm__evidence_gap__001,CASE_BCC_001,llm,14,evidence_gap,1,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,本方法未接入外部可追溯证据，所有解释基于模型内部的一般医学知识,False,,none,0,,,
CASE_BCC_001__llm__evidence_gap__002,CASE_BCC_001,llm,15,evidence_gap,2,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏患者的年龄、病史、病变持续时间、是否有溃疡或出血等关键临床信息,False,,none,0,,,
CASE_BCC_001__llm__evidence_gap__003,CASE_BCC_001,llm,16,evidence_gap,3,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏皮肤镜检查结果或组织病理学检查报告，无法确诊,False,,none,0,,,
CASE_BCC_001__llm__evidence_gap__004,CASE_BCC_001,llm,17,evidence_gap,4,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,纯 LLM 基线未接入外部检索证据，回答中的医学内容不具备本次运行级别的来源追溯能力。,False,,none,0,,,
CASE_BCC_001__rag__observation_match__001,CASE_BCC_001,rag,1,observation_match,1,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的“光亮的珍珠样结节”与检索证据中描述的结节型基底细胞癌表现一致,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__observation_match__002,CASE_BCC_001,rag,2,observation_match,2,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的“表面可见细小血管”与检索证据中描述的基底细胞癌表面可见血管穿过相符,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__observation_match__003,CASE_BCC_001,rag,3,observation_match,3,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的病变部位为面部，与检索证据中指出的结节型基底细胞癌常见于面部相符,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__supporting_evidence__001,CASE_BCC_001,rag,4,supporting_evidence,1,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据DOC_0023，结节型基底细胞癌可表现为光亮或珍珠样结节,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__supporting_evidence__002,CASE_BCC_001,rag,5,supporting_evidence,2,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据DOC_0024，基底细胞癌表面可见血管穿过,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__supporting_evidence__003,CASE_BCC_001,rag,6,supporting_evidence,3,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据DOC_0028，结节型基底细胞癌是面部常见的BCC类型,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__differential_diagnosis__001,CASE_BCC_001,rag,7,differential_diagnosis,1,differential_claim,鉴别诊断陈述,core_consistency,True,True,樱桃样血管瘤：根据DOC_0096，偶尔可能与结节型基底细胞癌混淆,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__risk_warning__001,CASE_BCC_001,rag,8,risk_warning,1,risk_claim,风险医学陈述,core_consistency,True,True,根据DOC_0029，基底细胞癌可能出现自发性出血、糜烂或溃疡，需警惕病情进展,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__medical_advice__001,CASE_BCC_001,rag,9,medical_advice,1,medical_advice,医疗建议,auxiliary_safety,False,False,建议前往皮肤科进行专业面诊以明确诊断,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__medical_advice__002,CASE_BCC_001,rag,10,medical_advice,2,medical_advice,医疗建议,auxiliary_safety,False,False,建议进行皮肤镜检查或组织病理学检查以确诊,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__medical_advice__003,CASE_BCC_001,rag,11,medical_advice,3,medical_advice,医疗建议,auxiliary_safety,False,False,注意观察皮损是否有出血、糜烂或快速增大等变化并记录,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__evidence_gap__001,CASE_BCC_001,rag,12,evidence_gap,1,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏患者年龄、性别及长期日晒史等风险因素信息,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__evidence_gap__002,CASE_BCC_001,rag,13,evidence_gap,2,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏皮损持续时间、生长速度及是否有疼痛或瘙痒等症状描述,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__evidence_gap__003,CASE_BCC_001,rag,14,evidence_gap,3,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏皮肤镜具体特征（如蓝灰色卵圆形巢、叶状结构等）的专业检查结果,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__rag__evidence_gap__004,CASE_BCC_001,rag,15,evidence_gap,4,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏组织病理学活检结果这一确诊金标准,False,,retrieved_text_document,5,DOC_0023；DOC_0024；DOC_0028；DOC_0096；DOC_0029,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy
CASE_BCC_001__kg_rag__observation_match__001,CASE_BCC_001,kg_rag,1,observation_match,1,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的'珍珠样结节'与基底细胞癌的典型临床表现'珍珠样结节'直接匹配。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__observation_match__002,CASE_BCC_001,kg_rag,2,observation_match,2,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的'表面可见细小血管'与基底细胞癌的常见体征'表面毛细血管扩张'相匹配。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__observation_match__003,CASE_BCC_001,kg_rag,3,observation_match,3,observation_alignment,观察匹配陈述,core_consistency,True,True,病变部位'面部'是基底细胞癌（特别是结节型）的好发部位，符合疾病分布特征。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__supporting_evidence__001,CASE_BCC_001,kg_rag,4,supporting_evidence,1,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据DermNet资料，结节型基底细胞癌可表现为光亮或珍珠样结节（证据链PATH_TRI_025）。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__supporting_evidence__002,CASE_BCC_001,kg_rag,5,supporting_evidence,2,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据DermNet资料，基底细胞癌表面可见血管穿过，即表面毛细血管扩张（证据链PATH_TRI_026）。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__supporting_evidence__003,CASE_BCC_001,kg_rag,6,supporting_evidence,3,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据DermNet资料，结节型基底细胞癌是面部常见的BCC类型（证据链PATH_TRI_030）。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__differential_diagnosis__001,CASE_BCC_001,kg_rag,7,differential_diagnosis,1,differential_claim,鉴别诊断陈述,core_consistency,True,True,皮脂腺增生：常表现为面部黄色或肤色小丘疹，中央可有脐凹，需与早期基底细胞癌鉴别。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__differential_diagnosis__002,CASE_BCC_001,kg_rag,8,differential_diagnosis,2,differential_claim,鉴别诊断陈述,core_consistency,True,True,纤维性丘疹：良性皮肤肿瘤，通常表现为坚实、肤色的圆顶状丘疹。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__differential_diagnosis__003,CASE_BCC_001,kg_rag,9,differential_diagnosis,3,differential_claim,鉴别诊断陈述,core_consistency,True,True,无色素性黑色素瘤：虽然较少见，但可能表现为粉红色或红色结节，需通过病理检查排除。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__risk_warning__001,CASE_BCC_001,kg_rag,10,risk_warning,1,risk_claim,风险医学陈述,core_consistency,True,True,基底细胞癌虽转移风险低，但具有局部侵袭性，若不及时处理可能导致组织破坏和毁容。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__risk_warning__002,CASE_BCC_001,kg_rag,11,risk_warning,2,risk_claim,风险医学陈述,core_consistency,True,True,仅凭外观观察无法确诊，必须通过组织病理学检查才能最终确认性质。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__medical_advice__001,CASE_BCC_001,kg_rag,12,medical_advice,1,medical_advice,医疗建议,auxiliary_safety,False,False,建议尽快前往皮肤科就诊，由专业医生进行皮肤镜检查。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__medical_advice__002,CASE_BCC_001,kg_rag,13,medical_advice,2,medical_advice,医疗建议,auxiliary_safety,False,False,遵医嘱进行皮肤活检或切除活检，以获取病理诊断结果。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__medical_advice__003,CASE_BCC_001,kg_rag,14,medical_advice,3,medical_advice,医疗建议,auxiliary_safety,False,False,在确诊前，注意保护患处，避免搔抓、挤压或自行用药，以免干扰后续检查或导致感染。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__evidence_gap__001,CASE_BCC_001,kg_rag,15,evidence_gap,1,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏病变持续时间、生长速度及是否有出血、结痂或溃疡病史的信息。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__evidence_gap__002,CASE_BCC_001,kg_rag,16,evidence_gap,2,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,未提供患者年龄、日晒史、免疫状态或家族皮肤癌病史等风险因素。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__evidence_gap__003,CASE_BCC_001,kg_rag,17,evidence_gap,3,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏皮肤镜下的具体结构特征（如蓝灰色卵圆形巢、叶状区域等）描述。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_BCC_001__kg_rag__evidence_gap__004,CASE_BCC_001,kg_rag,18,evidence_gap,4,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,未提及是否伴有疼痛、瘙痒或其他自觉症状。,False,,ranked_kg_evidence_path,5,PATH_TRI_025；PATH_TRI_026；PATH_TRI_030；PATH_TRI_027；PATH_TRI_028,DermNet - Basal Cell Carcinoma,DermNet - Basal Cell Carcinoma
CASE_MEL_001__llm__observation_match__001,CASE_MEL_001,llm,1,observation_match,1,observation_alignment,观察匹配陈述,core_consistency,True,True,用户描述的皮损形态不对称（Asymmetry）与黑色素瘤的典型特征相符,False,,none,0,,,
CASE_MEL_001__llm__observation_match__002,CASE_MEL_001,llm,2,observation_match,2,observation_alignment,观察匹配陈述,core_consistency,True,True,边界不规则（Border irregularity）是黑色素瘤的重要临床指征之一,False,,none,0,,,
CASE_MEL_001__llm__observation_match__003,CASE_MEL_001,llm,3,observation_match,3,observation_alignment,观察匹配陈述,core_consistency,True,True,颜色深浅不一（Color variation）符合黑色素瘤多色性的表现,False,,none,0,,,
CASE_MEL_001__llm__observation_match__004,CASE_MEL_001,llm,4,observation_match,4,observation_alignment,观察匹配陈述,core_consistency,True,True,近期有增大趋势（Evolution/Diameter change）提示病变处于动态变化中，属于高风险信号,False,,none,0,,,
CASE_MEL_001__llm__supporting_evidence__001,CASE_MEL_001,llm,5,supporting_evidence,1,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据一般医学知识，黑色素瘤的临床筛查常参考ABCDE原则，即不对称性、边界不规则、颜色改变、直径较大及演变过程,False,,none,0,,,
CASE_MEL_001__llm__supporting_evidence__002,CASE_MEL_001,llm,6,supporting_evidence,2,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,皮损的形态学改变和近期快速增大通常被视为需要紧急评估的警示体征,False,,none,0,,,
CASE_MEL_001__llm__differential_diagnosis__001,CASE_MEL_001,llm,7,differential_diagnosis,1,differential_claim,鉴别诊断陈述,core_consistency,True,True,发育不良痣（Dysplastic Nevus）,False,,none,0,,,
CASE_MEL_001__llm__differential_diagnosis__002,CASE_MEL_001,llm,8,differential_diagnosis,2,differential_claim,鉴别诊断陈述,core_consistency,True,True,脂溢性角化病（Seborrheic Keratosis）,False,,none,0,,,
CASE_MEL_001__llm__differential_diagnosis__003,CASE_MEL_001,llm,9,differential_diagnosis,3,differential_claim,鉴别诊断陈述,core_consistency,True,True,色素性基底细胞癌（Pigmented Basal Cell Carcinoma）,False,,none,0,,,
CASE_MEL_001__llm__differential_diagnosis__004,CASE_MEL_001,llm,10,differential_diagnosis,4,differential_claim,鉴别诊断陈述,core_consistency,True,True,良性色素痣（Benign Melanocytic Nevus）,False,,none,0,,,
CASE_MEL_001__llm__risk_warning__001,CASE_MEL_001,llm,11,risk_warning,1,risk_claim,风险医学陈述,core_consistency,True,True,黑色素瘤具有侵袭性和转移潜力，早期发现对预后至关重要,False,,none,0,,,
CASE_MEL_001__llm__risk_warning__002,CASE_MEL_001,llm,12,risk_warning,2,risk_claim,风险医学陈述,core_consistency,True,True,仅凭外观描述无法排除其他恶性皮肤肿瘤或良性病变，存在误判风险,False,,none,0,,,
CASE_MEL_001__llm__risk_warning__003,CASE_MEL_001,llm,13,risk_warning,3,risk_claim,风险医学陈述,core_consistency,True,True,延误专业评估可能导致病情进展,False,,none,0,,,
CASE_MEL_001__llm__medical_advice__001,CASE_MEL_001,llm,14,medical_advice,1,medical_advice,医疗建议,auxiliary_safety,False,False,建议尽快前往正规医院皮肤科就诊,False,,none,0,,,
CASE_MEL_001__llm__medical_advice__002,CASE_MEL_001,llm,15,medical_advice,2,medical_advice,医疗建议,auxiliary_safety,False,False,医生可能会建议进行皮肤镜检查以辅助评估皮损结构,False,,none,0,,,
CASE_MEL_001__llm__medical_advice__003,CASE_MEL_001,llm,16,medical_advice,3,medical_advice,医疗建议,auxiliary_safety,False,False,如有必要，需通过组织病理学活检确诊，请勿自行处理或观察等待,False,,none,0,,,
CASE_MEL_001__llm__evidence_gap__001,CASE_MEL_001,llm,17,evidence_gap,1,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,本方法未接入外部可追溯证据，所有解释基于模型内部通用医学知识,False,,none,0,,,
CASE_MEL_001__llm__evidence_gap__002,CASE_MEL_001,llm,18,evidence_gap,2,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏患者年龄、家族史、日晒史等关键背景信息,False,,none,0,,,
CASE_MEL_001__llm__evidence_gap__003,CASE_MEL_001,llm,19,evidence_gap,3,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,缺乏皮损的具体尺寸、部位及触感等详细临床数据,False,,none,0,,,
CASE_MEL_001__llm__evidence_gap__004,CASE_MEL_001,llm,20,evidence_gap,4,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,无皮肤镜图像或病理检查结果作为客观依据,False,,none,0,,,
CASE_MEL_001__llm__evidence_gap__005,CASE_MEL_001,llm,21,evidence_gap,5,evidence_limitation,证据缺口说明,auxiliary_limitation,False,False,纯 LLM 基线未接入外部检索证据，回答中的医学内容不具备本次运行级别的来源追溯能力。,False,,none,0,,,
CASE_MEL_001__rag__observation_match__001,CASE_MEL_001,rag,1,observation_match,1,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的'形态不对称'与黑色素瘤的ABCDE特征中的Asymmetry（不对称）相符,False,,retrieved_text_document,5,DOC_0003；DOC_0077；DOC_0001；DOC_0014；DOC_0005,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma
CASE_MEL_001__rag__observation_match__002,CASE_MEL_001,rag,2,observation_match,2,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的'边界不规则'与黑色素瘤的ABCDE特征中的Border irregularity（边界不规则）相符,False,,retrieved_text_document,5,DOC_0003；DOC_0077；DOC_0001；DOC_0014；DOC_0005,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma
CASE_MEL_001__rag__observation_match__003,CASE_MEL_001,rag,3,observation_match,3,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的'颜色深浅不一'对应黑色素瘤评估中可能出现的不规则色素或异常结构,False,,retrieved_text_document,5,DOC_0003；DOC_0077；DOC_0001；DOC_0014；DOC_0005,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma
CASE_MEL_001__rag__observation_match__004,CASE_MEL_001,rag,4,observation_match,4,observation_alignment,观察匹配陈述,core_consistency,True,True,用户观察到的'近期有增大趋势'属于黑色素瘤评估中的不典型特征之一,False,,retrieved_text_document,5,DOC_0003；DOC_0077；DOC_0001；DOC_0014；DOC_0005,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma
